epoch,accuracy,loss,val_accuracy,val_loss
5,84.198,0.0071263363602757455,79.7,0.009460999536514282
6,87.202,0.005828024389743805,80.26,0.009321794244647026
7,89.456,0.004797087163329125,77.42,0.01157481047809124
8,91.452,0.003935894901305437,79.97,0.009750377917289733
9,93.15,0.003160255204066634,80.51,0.010155214068293571
10,94.438,0.002601836048960686,82.17,0.009102800159156323

Train Accuracy: 94.438
Test Accuracy: 82.17

ClassName,Accuracy
plane,83.7
car,91.6
bird,76.7
cat,58.9
deer,79.6
dog,77.6
frog,88.2
horse,84.8
ship,89.6
truck,87.8
