epoch,accuracy,loss,val_accuracy,val_loss
1,54.714,0.022959328,69.37,0.014025329
2,69.916,0.013591293,74.74,0.011169643
3,74.138,0.011718771,76.82,0.010380458
4,76.706,0.010575978,78.89,0.009648949
5,78.154,0.009788572,80.32,0.009011257
6,79.604,0.00918118,80.63,0.008845269
7,80.714,0.008663349,80.52,0.008832826
8,81.65,0.008288979,82.17,0.008027251
9,82.48,0.007862425,82.34,0.008023446
10,83.084,0.007547992,81.97,0.008348993
,,,,
Train Accuracy: 83.084,,,,
Test Accuracy: 82.34,,,,
,,,,
ClassName,Accuracy,,,
plane,87.5,,,
car,89.2,,,
bird,80.2,,,
cat,64.2,,,
deer,84.2,,,
dog,70.9,,,
frog,89.5,,,
horse,85.9,,,
ship,82.5,,,
truck,85.6,,,
